STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997338,99999, 20050627,   78.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.2,24,  18.1, 999.9,   84.0*,  72.1*, 0.00I,999.9, 000000,
997338,99999, 20050628,   81.4,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.9,22,  18.1, 999.9,   87.3*,  75.7*, 0.00I,999.9, 000000,
997338,99999, 20050629,   75.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.8,24,   8.9, 999.9,   82.0*,  72.9*, 0.00I,999.9, 000000,
997338,99999, 20050630,   79.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.0,24,  29.9, 999.9,   87.3*,  72.9*, 0.00I,999.9, 000000,
997338,99999, 20050701,   71.6,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  16.3,22,  21.0, 999.9,   84.4*,  65.1*, 0.00I,999.9, 000000,
997338,99999, 20050702,   63.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.9,24,  20.0, 999.9,   65.1*,  61.3*, 0.00I,999.9, 000000,
997338,99999, 20050703,   68.8,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.6,24,  16.9, 999.9,   77.5*,  65.3*, 0.00I,999.9, 000000,
997338,99999, 20050704,   76.4, 9, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  16.1, 9,  20.0, 999.9,   79.7*,  73.8*, 0.00I,999.9, 000000,
997338,99999, 20050705,   71.0,13, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   8.8,13,  15.9, 999.9,   74.3*,  67.8*, 0.00I,999.9, 000000,
997338,99999, 20050706,   67.9,18, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.2,18,  13.0, 999.9,   68.9*,  66.0*, 0.00I,999.9, 000000,
997338,99999, 20050707,   68.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.3,24,  14.0, 999.9,   70.2*,  67.6*, 0.00I,999.9, 000000,
997338,99999, 20050708,   69.8,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.7,22,  15.0, 999.9,   72.5*,  68.4*, 0.00I,999.9, 000000,
997338,99999, 20050709,   71.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.5,24,  12.0, 999.9,   75.0*,  68.9*, 0.00I,999.9, 000000,
997338,99999, 20050710,   74.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.9,24,  13.0, 999.9,   77.9*,  72.7*, 0.00I,999.9, 000000,
997338,99999, 20050711,   74.1,21, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.4,21,   8.9, 999.9,   76.3*,  73.0*, 0.00I,999.9, 000000,
997338,99999, 20050712,   74.4,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  15.2,23,  22.9, 999.9,   76.5*,  72.9*, 0.00I,999.9, 000000,
997338,99999, 20050713,   72.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  15.1,24,  25.1, 999.9,   74.3*,  71.8*, 0.00I,999.9, 000000,
